id,title,excerpt,content,pub_date,thumbnail,slug
1,"The Perfect Sandwich, A Real NYC Classic","Just some random text, lorem ipsum text praesent tincidunt ipsum lipsum.","Just some random text, lorem ipsum text praesent tincidunt ipsum lipsum.",2021-11-29 08:36:33,sandwich.jpg,the-perfect-sandwich
2,Let Me Tell You About This Steak,"Once again, some random text to lorem lorem lorem lorem ipsum text praesent tincidunt ipsum lipsum.","Once again, some random text to lorem lorem lorem lorem ipsum text praesent tincidunt ipsum lipsum.",2021-11-29 08:46:27,steak.jpg,let-me-tell-you-about-this-steak
3,"Cherries, interrupted",Lorem ipsum text praesent tincidunt ipsum lipsum.  What else?,"Lorem ipsum text praesent tincidunt ipsum lipsum.

What else?",2021-11-29 08:47:08,cherries.jpg,cherries
4,"Once Again, Robust Wine and Vegetable Pasta",Lorem ipsum text praesent tincidunt ipsum lipsum.,<p>Lorem ipsum text praesent tincidunt ipsum lipsum.</p>,2021-11-29 08:47:55,wine.jpg,wine-vegetable
6,All I Need Is a Popsicle,Lorem ipsum text praesent tincidunt ipsum lipsum.,Lorem ipsum text praesent tincidunt ipsum lipsum.,2021-11-29 08:51:04,popsicle.jpg,popsicle
7,Salmon For Your Skin,"Once again, some random text to lorem lorem lorem lorem ipsum text praesent tincidunt ipsum lipsum.","<p>Once again, some random text to lorem lorem lorem lorem ipsum text praesent tincidunt ipsum lipsum.</p>",2021-11-29 08:51:35,salmon.jpg,salmon
8,"The Perfect Sandwich, A Real Classic","Just some random text, lorem ipsum text praesent tincidunt ipsum lipsum.","<p>Just some random text, lorem ipsum text praesent tincidunt ipsum lipsum.</p>",2021-11-29 08:52:12,sandwich_7Xj5tRZ.jpg,real-classic-sandwich
9,Le French,Lorem lorem lorem lorem ipsum text praesent tincidunt ipsum lipsum.,<p>Lorem lorem lorem lorem ipsum text praesent tincidunt ipsum lipsum.</p>,2021-11-29 08:53:09,croissant.jpg,french
10,Lorem Sed mattis nunc,Lorem Sed mattis nunc,<p>Lorem Sed mattis nunc</p>,2021-11-28 08:53:54,workshop.jpg,sed-mattis
11,Ipsum Praes tinci sed,Ipsum Praes tinci sed,"<p><strong>Sed blandit gravida diam, in aliquet urna finibus at</strong>. Etiam vel lectus ornare, dignissim dolor eu, lacinia lectus. Curabitur ac tempus justo, vitae condimentum nibh. Sed sollicitudin eu diam ut malesuada. Morbi vel facilisis risus. Duis elementum arcu ante, quis facilisis nisl hendrerit eu. Mauris sed ornare ante. Maecenas vestibulum ex vitae velit suscipit aliquam. Cras pulvinar semper nisi non condimentum. Quisque gravida sem in tempus varius. Mauris at mauris sit amet odio dictum pretium eu et lacus. Proin lorem lectus, aliquet a maximus nec, consequat a dui. Nulla vitae nisi sit amet ligula pulvinar bibendum vitae ut lorem. Nullam id tortor suscipit, mattis libero eu, interdum lorem.</p>

<h2><img alt="""" src=""/media/uploads/2021/11/29/workshop.jpg"" style=""float:left; height:147px; margin:5px; width:147px"" />Maecenas fermentum imperdiet</h2>

<p>Sed volutpat fringilla dui ac tempus. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque quis elementum eros. Sed quis risus at nulla porta porta. Ut sit amet nisl quis felis blandit efficitur sit amet et urna. Cras vitae auctor felis. Ut finibus elit vel enim varius porttitor. Praesent vitae scelerisque dui, mollis lacinia erat. Maecenas fermentum imperdiet sem, id cursus tellus malesuada id. Aenean libero lorem, placerat et enim a, dignissim tincidunt libero. In molestie suscipit nunc, et faucibus nisi venenatis in. Maecenas eget sollicitudin nisl.</p>",2021-11-28 08:54:43,gondol.jpg,ipsum-praes
